_id,name,process,updatedBy,createdAt,updatedAt,__v
"""68b4658c379f943edd4062c8""","Design","[""NPD Register"",""Product List"",""Product Success Rate"",""Product Sample List"",""Product Revision"",""Bill of Materials - BOM""]","""68924eade86610b14bbfb6a6""","""2025-08-31T15:09:00.432Z""","""2025-08-31T15:09:00.432Z""","8"
"""68b7f703711bbc65d5e698e7""","Manufacturing","[""Production Plan"",""Production Report"",""Rejection Report"",""Rework Report"",""Dispatch"",""Shift Schedule""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:06:27.015Z""","""2025-09-03T08:06:27.015Z""","0"
"""68b7f772711bbc65d5e698eb""","Quality","[""Instruments"",""Calibration Report"",""Incoming Inspection"",""Customer Complient Register"",""Process Control Plan"",""Certificate Renewal"",""Quality Audits"",""Continous Improvement""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:08:18.595Z""","""2025-09-03T08:08:18.595Z""","0"
"""68b7f801711bbc65d5e698ef""","Maintenance","[""Machine List"",""Machine History Card"",""Preventive Maintenance"",""KWH Monitoring""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:10:41.655Z""","""2025-09-03T08:10:41.655Z""","0"
"""68b7f844711bbc65d5e698f3""","Sales","[""Customer List"",""Field Visit Report"",""Quotation List"",""Order List"",""Product Sample Register"",""Customer Trail""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:11:48.276Z""","""2025-09-03T08:11:48.276Z""","0"
"""68b7f8c3711bbc65d5e698f7""","Purchase","[""Item List"",""Vendor List"",""Procurement Register""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:13:55.061Z""","""2025-09-03T08:13:55.061Z""","0"
"""68b7f8dc711bbc65d5e698fb""","Stores","[""Store Register"",""Stock Data"",""Stock Adjustment"",""Request Slip""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:14:20.831Z""","""2025-09-03T08:14:20.831Z""","0"
"""68b7f965711bbc65d5e698ff""","Human Resources","[""Employee History"",""Attendance Register"",""Training Schedule"",""Safety Follow Ups"",""5s"",""Skill Matrix""]","""68924eade86610b14bbfb6a6""","""2025-09-03T08:16:37.583Z""","""2025-09-03T08:16:37.583Z""","0"
